"","mRNA-UHRR-C2","mRNA-UHRR-C1","mRNA-Brain-C6","mRNA-Brain-C4"
"DDX11L1",0,0,0,0
"WASH7P",474,524,608,480
"FAM138A",0,0,0,0
"FAM138F",0,0,0,0
"OR4F5",0,0,0,0
"LOC729737",932,798,266,265
"LOC100132287",0,0,0,0
"LOC100132062",0,0,0,0
"LOC100133331",500,379,142,265
"OR4F29",0,0,0,0
"OR4F16",0,0,0,0
"OR4F3",0,0,0,0
"LOC100288069",115,144,65,62
"LINC00115",136,106,148,165
"LOC643837",1090,1180,3120,3091
"FAM41C",2,0,1,2
"LOC100130417",126,73,18,2
"SAMD11",1351,1052,221,207
"NOC2L",11174,9858,5147,5179
"KLHL17",2045,1595,809,1043
"PLEKHN1",463,384,0,5
"C1orf170",93,79,23,19
"HES4",1029,681,530,632
"ISG15",1083,842,576,593
"AGRN",21991,18876,5811,6231
"RNF223",187,166,0,0
"C1orf159",1240,1140,879,951
"LOC254099",5,0,0,0
"MIR200B",1,0,0,0
"MIR200A",2,0,0,0
"MIR429",1,5,0,0
"TTLL10",5,8,2,19
"TNFRSF18",809,661,109,115
"TNFRSF4",5,0,20,36
"SDF4",12917,11254,6951,7349
"B3GALT6",1921,1636,1360,1349
"FAM132A",75,88,46,59
"UBE2J2",3609,3218,2530,2706
"SCNN1D",635,511,1638,1813
"ACAP3",5153,4442,16148,17643
"PUSL1",1345,1188,548,602
"CPSF3L",5875,5219,5703,5818
"GLTPD1",1839,1570,1863,1879
"TAS1R3",45,56,33,22
"DVL1",5696,5046,7521,7709
"MXRA8",704,643,551,565
"AURKAIP1",5237,4366,4235,4579
"CCNL2",12964,11737,8904,9142
"LOC148413",1561,1429,836,974
"MRPL20",3553,3295,3122,2776
"ANKRD65",88,110,2086,2226
"TMEM88B",0,5,518,602
"VWA1",1587,1218,5238,5206
"ATAD3C",248,240,261,203
"ATAD3B",3119,2660,1013,1051
"ATAD3A",4299,3897,1047,1110
"TMEM240",28,31,1299,1185
"SSU72",6445,6250,6537,6868
"C1orf233",1537,1288,1325,1473
"MIB2",2667,2098,4198,4749
"MMP23B",23,12,7,13
"MMP23A",5,1,1,2
"CDK11B",1969,1785,1598,1360
"SLC35E2B",4829,4469,6057,6336
"CDK11A",975,916,856,805
"SLC35E2",1691,1590,3593,3714
"NADK",5682,5298,2147,2312
"GNB1",24916,24065,48146,48335
"CALML6",39,23,33,25
"TMEM52",185,149,73,105
"KIAA1751",7,1,289,329
"GABRD",37,32,14846,15855
"PRKCZ",1491,1515,16209,16783
"C1orf86",2454,2023,1593,1667
"SKI",5211,4841,16393,16357
"MORN1",295,255,958,946
"LOC100129534",167,191,562,483
"RER1",7532,6998,6162,6282
"PEX10",1654,1511,1674,1761
"PLCH2",199,174,6631,6869
"PANK4",2125,1776,2427,2683
"HES5",3,0,110,109
