"","baseMean","log2FoldChange","lfcSE","pvalue","padj","status"
"DDX11L1",0,NaN,NaN,NaN,NaN,"Low"
"WASH7P",521.58278646759,0.263139103009315,0.183921664731038,0.152512507251179,0.169525207703036,"OK"
"FAM138A",0,NaN,NaN,NaN,NaN,"Low"
"FAM138F",0,NaN,NaN,NaN,NaN,"Low"
"OR4F5",0,NaN,NaN,NaN,NaN,"Low"
"LOC729737",548.719844731165,-1.55474933534891,0.133216385620983,1.79605584778523e-31,4.70890872073342e-31,"OK"
"LOC100132287",0,NaN,NaN,NaN,NaN,"Low"
"LOC100132062",0,NaN,NaN,NaN,NaN,"Low"
"LOC100133331",314.681184220996,-0.938343154236099,0.368274546700326,NaN,NaN,"Outlier"
"OR4F29",0,NaN,NaN,NaN,NaN,"Low"
"OR4F16",0,NaN,NaN,NaN,NaN,"Low"
"OR4F3",0,NaN,NaN,NaN,NaN,"Low"
"LOC100288069",94.8183019056965,-0.874872538265801,0.292482953947184,0.00277891126135323,0.00350190571293302,"OK"
"LINC00115",139.230964991762,0.511458823328617,0.239683151821157,0.0328513276547025,0.0385692320645677,"OK"
"LOC643837",2164.88332723679,1.5914812916863,0.0888704138534351,1.02348537375326e-71,4.22021257620798e-71,"OK"
"FAM41C",1.25188326380386,0.375928762152455,1.19394003001809,0.752864898024287,NaN,"Low"
"LOC100130417",52.1539785344629,-2.72254391998414,0.826000983029415,0.000980531340609472,0.00126639179839868,"OK"
"SAMD11",680.567259256194,-2.33153848572953,0.170471761884637,1.39365924529801e-42,4.25848323455644e-42,"OK"
"NOC2L",7685.81555278721,-0.881411997893259,0.0669272445496864,1.31110745685533e-39,3.84853192802045e-39,"OK"
"KLHL17",1346.49320678102,-0.822262756829544,0.194077625402993,2.26755625152722e-05,3.1691857612107e-05,"OK"
"PLEKHN1",201.842224138878,-6.7744670286798,0.560005237884992,1.09342467855653e-33,2.95492732912179e-33,"OK"
"C1orf170",51.7190288997257,-1.84319413114732,0.370473773623569,6.51684894271324e-07,9.767293149762e-07,"OK"
"HES4",708.319009666839,-0.404176986665598,0.24220589983464,NaN,NaN,"Outlier"
"ISG15",761.517771969383,-0.571250763183857,0.154974736704228,0.000227726215164223,0.000304234954871986,"OK"
"AGRN",12831.8675100662,-1.61568601895122,0.0888132954733134,5.97875671602069e-74,2.50661458632694e-73,"OK"
"RNF223",83.6292682194822,-7.33282749124384,0.895490560815019,2.64249236432963e-16,5.23747062650858e-16,"OK"
"C1orf159",1043.27332572191,-0.234945695453494,0.0970484489967768,0.0154816505901608,0.0186172145970716,"OK"
"LOC254099",1.16179995196413,-1.02276015578548,1.06521052745459,0.336980545352695,NaN,"Low"
"MIR200B",0.232359990392826,-0.387019639418059,0.78386358631292,0.62149446849769,NaN,"Low"
"MIR200A",0.464719980785653,-0.619929840127102,0.9269614459624,0.503638191233046,NaN,"Low"
"MIR429",1.44253920774294,-1.92352781658499,1.18926886943558,0.105791177229707,NaN,"Low"
"TTLL10",8.62576734929274,0.629379062390004,1.02859610292418,0.540616074909158,NaN,"Low"
"TNFRSF18",406.619357903546,-2.55429035330806,0.180339518680353,1.53496584592503e-45,4.86186665494047e-45,"OK"
"TNFRSF4",15.8508378567197,2.84969897119115,0.968620216937416,0.00326080039965398,0.00408884509946013,"OK"
"SDF4",9469.74873794963,-0.611934997242954,0.0803327338443949,2.58626006724625e-14,4.88748348561593e-14,"OK"
